category,OriginalName,name
0,"General","General"
1,"The physics of elementary particles and fields","Elementary particles"
2,"Nuclear physics","Nuclear physics"
3,"Atomic and molecular physics","Atomic and molecular physics"
4,"Electromagnetism, optics, acoustics, heat transfer, classical mechanics, and fluid dynamics","Classical physics"
5,"Physics of gases, plasmas, and electric discharges","Gases, plasmas, and discharges"
6,"Condensed matter: structural, mechanical, and thermal properties","Condensed matter"
7,"Condensed matter: electronic structure, electrical, magnetic, and optical properties","Condensed matter"
8,"Interdisciplinary physics and related areas of science and technology","Interdisciplinary physics"
9,"Geophysics, astronomy, and astrophysics","Geophysics and astronomy"
