age,n,group
0,2,middle
1,5,middle
2,8,middle
3,13,middle
4,16,middle
5,19,middle
6,23,middle
7,27,middle
8,31,middle
9,32,middle
10,34,middle
11,36,middle
12,41,middle
13,43,middle
14,46,middle
15,50,middle
16,51,middle
17,55,middle
18,64,middle
19,121,middle
20,182,middle
21,246,middle
22,315,middle
23,378,middle
24,433,middle
25,491,middle
26,547,middle
27,601,middle
28,668,middle
29,717,middle
30,772,middle
31,825,middle
32,870,middle
33,911,middle
34,913,middle
35,913,middle
36,913,middle
37,913,middle
38,913,middle
39,913,middle
40,913,middle
41,913,middle
42,913,middle
43,913,middle
44,913,middle
45,913,middle
46,913,middle
47,913,middle
48,913,middle
49,913,middle
50,913,middle
0,456,middle
1,456,middle
2,456,middle
3,456,middle
4,456,middle
5,456,middle
6,456,middle
7,456,middle
8,456,middle
9,456,middle
10,456,middle
11,456,middle
12,456,middle
13,456,middle
14,456,middle
15,456,middle
16,456,middle
17,456,middle
18,456,middle
19,456,middle
20,456,middle
21,456,middle
22,456,middle
23,456,middle
24,456,middle
25,456,middle
26,456,middle
27,456,middle
28,456,middle
29,456,middle
30,456,middle
31,456,middle
32,456,middle
33,456,middle
34,456,middle
35,456,middle
36,456,middle
37,456,middle
38,456,middle
39,456,middle
40,456,middle
41,456,middle
42,456,middle
43,456,middle
44,456,middle
45,456,middle
46,456,middle
47,456,middle
48,456,middle
49,456,middle
50,456,middle
0,1,bottom
1,1,bottom
2,1,bottom
3,2,bottom
4,2,bottom
5,2,bottom
6,2,bottom
7,2,bottom
8,2,bottom
9,2,bottom
10,2,bottom
11,2,bottom
12,2,bottom
13,2,bottom
14,2,bottom
15,2,bottom
16,2,bottom
17,2,bottom
18,2,bottom
19,2,bottom
20,2,bottom
21,2,bottom
22,2,bottom
23,2,bottom
24,2,bottom
25,2,bottom
26,2,bottom
27,2,bottom
28,2,bottom
29,2,bottom
30,2,bottom
31,2,bottom
32,2,bottom
33,2,bottom
34,2,bottom
35,2,bottom
36,2,bottom
37,2,bottom
38,2,bottom
39,2,bottom
40,2,bottom
41,2,bottom
42,2,bottom
43,2,bottom
44,2,bottom
45,2,bottom
46,2,bottom
47,2,bottom
48,2,bottom
49,2,bottom
50,2,bottom
0,1,middle
1,1,middle
2,1,middle
3,1,middle
4,1,middle
5,1,middle
6,36,middle
7,141,middle
8,213,middle
9,318,middle
10,436,middle
11,539,middle
12,638,middle
13,740,middle
14,838,middle
15,938,middle
16,1035,middle
17,1131,middle
18,1222,middle
19,1288,middle
20,1376,middle
21,1444,middle
22,1446,middle
23,1446,middle
24,1446,middle
25,1446,middle
26,1446,middle
27,1446,middle
28,1446,middle
29,1446,middle
30,1446,middle
31,1446,middle
32,1446,middle
33,1446,middle
34,1446,middle
35,1446,middle
36,1446,middle
37,1446,middle
38,1446,middle
39,1446,middle
40,1446,middle
41,1446,middle
42,1446,middle
43,1446,middle
44,1446,middle
45,1446,middle
46,1446,middle
47,1446,middle
48,1446,middle
49,1446,middle
50,1446,middle
0,1,top
1,3,top
2,3,top
3,3,top
4,11,top
5,41,top
6,85,top
7,109,top
8,160,top
9,219,top
10,255,top
11,298,top
12,343,top
13,372,top
14,392,top
15,419,top
16,440,top
17,464,top
18,476,top
19,546,top
20,606,top
21,650,top
22,713,top
23,784,top
24,874,top
25,933,top
26,993,top
27,1058,top
28,1141,top
29,1215,top
30,1284,top
31,1370,top
32,1438,top
